dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
eJ6uwSt5TEp,202201,FxdgLy07xN4,wDiX34aiw6i,Lf2Axb9E6B4,2,hmis.morungatuny,2022-02-11T15:23:42.834+0000,,false
sv6SeKroHPV,202201,RUGDBdVZ6oS,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:29:42.784+0000,,false
JhvC7ZR9hUe,202201,RUGDBdVZ6oS,wDiX34aiw6i,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:30:19.418+0000,,false
O7du4F9jOVw,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:20.756+0000,,false
bRYoCXTmJCB,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:02.195+0000,,false
d4LbA3iyebD,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:34:52.090+0000,,false
wUDxFVBapIc,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:23:03.141+0000,,false
LR8778hLH8U,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:26:29.691+0000,,false
Rw3b8mGkyfh,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:05.758+0000,,false
Uo3DcCS7GQJ,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:28:09.169+0000,,false
PgLUhukgbZu,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:15.780+0000,,false
P2wDiYT9Ldr,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:07.262+0000,,false
wPvAkvR4dzH,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:42.099+0000,,false
OaRxaiaFBsA,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:43.911+0000,,false
Ltid4SErX2z,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:34:07.770+0000,,false
EeUWzpLdAcO,202201,wz2IJXrulbx,wDiX34aiw6i,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:28:24.847+0000,,false
