dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
vC9pW0FEvd2,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,1,hmis.stclaire,2022-02-12T11:08:03.582+0000,,false
sv6SeKroHPV,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,82,hmis.stclaire,2022-02-12T11:07:20.966+0000,,false
D9A0afrTYPw,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,19,hmis.stclaire,2022-02-12T11:10:22.435+0000,,false
eJ6uwSt5TEp,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,1,hmis.stclaire,2022-02-16T02:43:58.737+0000,,false
JhvC7ZR9hUe,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,30,hmis.stclaire,2022-02-12T11:09:33.969+0000,,false
QHnwKs2OUZv,202201,jcEuyATQbMK,u3CkZqMHfHP,Lf2Axb9E6B4,19,hmis.stclaire,2022-02-12T11:11:55.965+0000,,false
O7du4F9jOVw,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,1,hmis.amucu,2022-02-07T10:38:26.390+0000,,false
wUDxFVBapIc,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,13,hmis.amucu,2022-02-07T08:26:22.686+0000,,false
WIJ0fbjLIJh,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,8,hmis.amucu,2022-02-07T08:30:17.287+0000,,false
BnXSeyr1Er2,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,4,hmis.amucu,2022-02-07T10:38:28.159+0000,,false
sv6SeKroHPV,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,29,hmis.amucu,2022-02-07T08:24:05.577+0000,,false
D9A0afrTYPw,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,13,hmis.amucu,2022-02-07T08:26:07.729+0000,,false
eJ6uwSt5TEp,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,5,hmis.amucu,2022-02-07T10:38:33.666+0000,,false
JhvC7ZR9hUe,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,24,hmis.amucu,2022-02-07T08:25:05.586+0000,,false
QHnwKs2OUZv,202201,N8L6gKVGOCM,u3CkZqMHfHP,Lf2Axb9E6B4,13,hmis.amucu,2022-02-07T08:26:27.742+0000,,false
KaqDbaq0Yce,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T09:18:27.339+0000,,false
wUDxFVBapIc,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,90,hmis.amuria1,2022-02-11T09:14:54.822+0000,,false
WIJ0fbjLIJh,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,10,hmis.amuria1,2022-02-11T09:18:56.412+0000,,false
LR8778hLH8U,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,20,hmis.amuria1,2022-02-11T09:20:08.997+0000,,false
Rw3b8mGkyfh,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,5,hmis.amuria1,2022-02-11T09:23:25.009+0000,,false
BnXSeyr1Er2,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-11T09:28:03.136+0000,,false
EeUWzpLdAcO,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-11T09:23:34.910+0000,,false
sv6SeKroHPV,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,117,hmis.amuria1,2022-02-11T09:08:32.048+0000,,false
D9A0afrTYPw,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,90,hmis.amuria1,2022-02-11T09:13:15.406+0000,,false
P6HSldZtd8j,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T09:26:40.183+0000,,false
JhvC7ZR9hUe,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,117,hmis.amuria1,2022-02-11T09:11:39.603+0000,,false
QHnwKs2OUZv,202201,yZP0DwhrfR8,u3CkZqMHfHP,Lf2Axb9E6B4,90,hmis.amuria1,2022-02-11T09:15:39.367+0000,,false
wUDxFVBapIc,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,100,hmis.amuria1,2022-02-17T08:47:30.321+0000,,false
WIJ0fbjLIJh,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,25,hmis.amuria1,2022-02-17T08:48:56.067+0000,,false
LR8778hLH8U,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,71,hmis.amuria1,2022-02-17T08:49:28.144+0000,,false
Rw3b8mGkyfh,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.amuria1,2022-02-17T08:50:38.850+0000,,false
FPXwKGEV96K,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,5,hmis.amuria1,2022-02-17T08:49:05.905+0000,,false
sv6SeKroHPV,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,231,hmis.amuria1,2022-02-17T08:46:11.522+0000,,false
D9A0afrTYPw,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,100,hmis.amuria1,2022-02-17T08:47:17.651+0000,,false
MxD5pnf5rVM,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:48:35.706+0000,,false
y6ofkvr4JP8,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-17T08:49:56.202+0000,,false
uqferbMcOHI,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,6,hmis.amuria1,2022-02-17T08:51:50.871+0000,,false
eJ6uwSt5TEp,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,8,hmis.amuria1,2022-02-17T08:55:02.586+0000,,false
JhvC7ZR9hUe,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,229,hmis.amuria1,2022-02-17T08:47:06.100+0000,,false
QHnwKs2OUZv,202201,yV1l7X3U9ZG,c7gvocRdg0f,Lf2Axb9E6B4,100,hmis.amuria1,2022-02-17T08:47:42.737+0000,,false
wUDxFVBapIc,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,4,Sorotiprisons.hcIII0002,2022-02-04T05:52:39.817+0000,,false
SPADxEItrIQ,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:02:38.498+0000,,false
WIJ0fbjLIJh,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,2,Sorotiprisons.hcIII0002,2022-02-04T05:56:50.714+0000,,false
LR8778hLH8U,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,8,Sorotiprisons.hcIII0002,2022-02-04T05:58:18.148+0000,,false
Rw3b8mGkyfh,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,4,Sorotiprisons.hcIII0002,2022-02-04T06:01:38.534+0000,,false
iOfjzBlv7TQ,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:10:21.098+0000,,false
Kn8xMo3kffA,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:09:35.023+0000,,false
npIzs2n622e,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:06:47.003+0000,,false
LiSyn6bblsc,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,2,Sorotiprisons.hcIII0002,2022-02-04T05:55:19.497+0000,,false
FPXwKGEV96K,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,3,Sorotiprisons.hcIII0002,2022-02-04T05:57:13.208+0000,,false
sv6SeKroHPV,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,28,Sorotiprisons.hcIII0002,2022-02-04T05:47:33.654+0000,,false
D9A0afrTYPw,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,4,Sorotiprisons.hcIII0002,2022-02-04T05:51:47.300+0000,,false
sQ4EexvvhVe,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T05:48:07.155+0000,,false
y6ofkvr4JP8,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,2,Sorotiprisons.hcIII0002,2022-02-04T05:59:11.897+0000,,false
eJ6uwSt5TEp,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,1,Sorotiprisons.hcIII0002,2022-02-04T06:20:18.160+0000,,false
JHOU1uXweoP,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,0,Sorotiprisons.hcIII0002,2022-02-04T06:04:29.901+0000,,false
JhvC7ZR9hUe,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,12,Sorotiprisons.hcIII0002,2022-02-04T05:51:03.284+0000,,false
QHnwKs2OUZv,202201,cd8AJF2SV0o,c7gvocRdg0f,Lf2Axb9E6B4,4,Sorotiprisons.hcIII0002,2022-02-04T05:53:46.427+0000,,false
O7du4F9jOVw,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:27:49.494+0000,,false
wUDxFVBapIc,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,26,hmis.orungo,2022-02-14T11:18:01.307+0000,,false
WIJ0fbjLIJh,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,11,hmis.orungo,2022-02-14T11:19:21.913+0000,,false
LR8778hLH8U,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,14,hmis.orungo,2022-02-14T11:20:04.967+0000,,false
Rw3b8mGkyfh,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:20:58.939+0000,,false
P2wDiYT9Ldr,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:24:06.288+0000,,false
OaRxaiaFBsA,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-14T11:24:44.464+0000,,false
sv6SeKroHPV,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,58,hmis.orungo,2022-02-14T11:16:31.385+0000,,false
D9A0afrTYPw,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,26,hmis.orungo,2022-02-14T11:17:47.368+0000,,false
eJ6uwSt5TEp,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,11,hmis.orungo,2022-02-14T11:28:44.522+0000,,false
P6HSldZtd8j,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,3,hmis.orungo,2022-02-14T11:25:19.860+0000,,false
JhvC7ZR9hUe,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,58,hmis.orungo,2022-02-14T11:17:25.668+0000,,false
QHnwKs2OUZv,202201,WmoemTft5Bj,c7gvocRdg0f,Lf2Axb9E6B4,26,hmis.orungo,2022-02-14T11:18:15.190+0000,,false
wUDxFVBapIc,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:04:58.509+0000,,false
FPXwKGEV96K,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:07:20.731+0000,,false
sv6SeKroHPV,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,8,hmis.adakun,2022-02-04T11:02:27.583+0000,,false
D9A0afrTYPw,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:04:45.466+0000,,false
JhvC7ZR9hUe,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,5,hmis.adakun,2022-02-04T11:04:13.202+0000,,false
QHnwKs2OUZv,202201,M864p5iRGub,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.adakun,2022-02-04T11:05:09.175+0000,,false
MflJ96PU8is,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:09:24.508+0000,,false
wUDxFVBapIc,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,12,hmis.stmichael,2022-02-07T13:04:26.296+0000,,false
LR8778hLH8U,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:05:34.446+0000,,false
aU0n2RXwQJC,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.stmichael,2022-02-07T13:04:15.405+0000,,false
sv6SeKroHPV,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,14,hmis.stmichael,2022-02-07T13:04:14.175+0000,,false
D9A0afrTYPw,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,12,hmis.stmichael,2022-02-07T13:04:21.847+0000,,false
JhvC7ZR9hUe,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,14,hmis.stmichael,2022-02-07T13:04:17.591+0000,,false
QHnwKs2OUZv,202201,AECp7SuwokS,c7gvocRdg0f,Lf2Axb9E6B4,12,hmis.stmichael,2022-02-07T13:04:28.487+0000,,false
KaqDbaq0Yce,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T07:58:01.073+0000,,false
wUDxFVBapIc,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,24,hmis.morungatuny,2022-02-11T07:49:44.713+0000,,false
LR8778hLH8U,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,4,hmis.morungatuny,2022-02-11T08:01:23.990+0000,,false
PgLUhukgbZu,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T08:13:17.142+0000,,false
LiSyn6bblsc,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.morungatuny,2022-02-11T07:51:53.124+0000,,false
sP8arX9aDLp,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,25,hmis.morungatuny,2022-02-11T12:15:42.304+0000,,false
sv6SeKroHPV,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,25,hmis.morungatuny,2022-02-11T07:45:25.237+0000,,false
D9A0afrTYPw,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,24,hmis.morungatuny,2022-02-11T07:48:57.380+0000,,false
Tm7KefYxbWj,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,5,hmis.morungatuny,2022-02-11T12:15:40.354+0000,,false
pcMUBDYvP6F,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,10,hmis.morungatuny,2022-02-11T08:24:53.159+0000,,false
P6HSldZtd8j,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T08:15:38.639+0000,,false
JhvC7ZR9hUe,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,24,hmis.morungatuny,2022-02-11T07:48:04.795+0000,,false
QHnwKs2OUZv,202201,dmsWl4MpI5p,c7gvocRdg0f,Lf2Axb9E6B4,24,hmis.morungatuny,2022-02-11T07:50:31.596+0000,,false
wUDxFVBapIc,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,73,hmis.amuria1,2022-02-11T07:00:45.226+0000,,false
WIJ0fbjLIJh,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,6,hmis.amuria1,2022-02-11T07:02:01.460+0000,,false
LR8778hLH8U,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,31,hmis.amuria1,2022-02-11T07:02:40.074+0000,,false
P2wDiYT9Ldr,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T07:05:28.347+0000,,false
LiSyn6bblsc,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T07:01:21.174+0000,,false
FPXwKGEV96K,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T07:02:16.430+0000,,false
sv6SeKroHPV,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,99,hmis.amuria1,2022-02-11T06:58:23.373+0000,,false
D9A0afrTYPw,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,73,hmis.amuria1,2022-02-11T07:00:32.684+0000,,false
uqferbMcOHI,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,4,hmis.amuria1,2022-02-11T07:04:56.703+0000,,false
eJ6uwSt5TEp,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,32,hmis.amuria1,2022-02-11T07:09:09.624+0000,,false
P6HSldZtd8j,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-11T07:05:59.026+0000,,false
JhvC7ZR9hUe,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,86,hmis.amuria1,2022-02-11T07:00:07.200+0000,,false
QHnwKs2OUZv,202201,kwd5xyrWwvO,c7gvocRdg0f,Lf2Axb9E6B4,73,hmis.amuria1,2022-02-11T07:00:57.695+0000,,false
wUDxFVBapIc,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,89,hmis.abarilela,2022-02-09T10:35:22.557+0000,,false
LR8778hLH8U,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,25,hmis.abarilela,2022-02-09T10:37:44.728+0000,,false
Rw3b8mGkyfh,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.abarilela,2022-02-09T10:39:29.773+0000,,false
P2wDiYT9Ldr,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.abarilela,2022-02-09T11:34:11.371+0000,,false
LiSyn6bblsc,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.abarilela,2022-02-09T10:36:18.328+0000,,false
FPXwKGEV96K,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,12,hmis.abarilela,2022-02-09T10:37:17.255+0000,,false
sv6SeKroHPV,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,106,hmis.abarilela,2022-02-09T10:33:27.226+0000,,false
D9A0afrTYPw,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,89,hmis.abarilela,2022-02-09T10:35:00.450+0000,,false
uqferbMcOHI,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.abarilela,2022-02-09T11:30:39.443+0000,,false
JhvC7ZR9hUe,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,106,hmis.abarilela,2022-02-09T10:34:32.395+0000,,false
QHnwKs2OUZv,202201,VVGxBCCP2jE,c7gvocRdg0f,Lf2Axb9E6B4,89,hmis.abarilela,2022-02-09T10:35:39.955+0000,,false
wUDxFVBapIc,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,47,hmis.morungatuny,2022-02-11T15:02:44.077+0000,,false
WIJ0fbjLIJh,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,4,hmis.morungatuny,2022-02-11T15:05:55.516+0000,,false
LR8778hLH8U,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,13,hmis.morungatuny,2022-02-11T15:07:26.493+0000,,false
Rw3b8mGkyfh,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.morungatuny,2022-02-11T15:10:55.810+0000,,false
PgLUhukgbZu,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T15:14:51.803+0000,,false
P2wDiYT9Ldr,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.morungatuny,2022-02-11T15:14:24.375+0000,,false
LiSyn6bblsc,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T15:04:32.929+0000,,false
sv6SeKroHPV,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,86,hmis.morungatuny,2022-02-11T14:59:25.384+0000,,false
D9A0afrTYPw,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,47,hmis.morungatuny,2022-02-11T15:02:11.574+0000,,false
y6ofkvr4JP8,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,5,hmis.morungatuny,2022-02-11T15:08:36.197+0000,,false
dm8YiC5eEsh,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T15:11:32.618+0000,,false
uqferbMcOHI,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.morungatuny,2022-02-11T15:13:23.202+0000,,false
eJ6uwSt5TEp,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,13,hmis.morungatuny,2022-02-11T15:23:56.201+0000,,false
P6HSldZtd8j,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,5,hmis.morungatuny,2022-02-11T15:16:53.315+0000,,false
JhvC7ZR9hUe,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,81,hmis.morungatuny,2022-02-11T15:01:15.443+0000,,false
QHnwKs2OUZv,202201,FxdgLy07xN4,c7gvocRdg0f,Lf2Axb9E6B4,47,hmis.morungatuny,2022-02-11T15:03:09.508+0000,,false
KaqDbaq0Yce,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:32:11.963+0000,,false
WIJ0fbjLIJh,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:31:57.451+0000,,false
LiSyn6bblsc,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:31:35.913+0000,,false
FPXwKGEV96K,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:32:25.297+0000,,false
sv6SeKroHPV,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.orungo,2022-02-07T12:29:49.609+0000,,false
y6ofkvr4JP8,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.orungo,2022-02-07T12:33:14.738+0000,,false
JhvC7ZR9hUe,202201,RUGDBdVZ6oS,c7gvocRdg0f,Lf2Axb9E6B4,2,hmis.orungo,2022-02-07T12:30:27.456+0000,,false
O7du4F9jOVw,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:25.633+0000,,false
bRYoCXTmJCB,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:11.263+0000,,false
d4LbA3iyebD,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:35:01.068+0000,,false
wUDxFVBapIc,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,31,hmis.amuria1,2022-02-08T09:23:15.510+0000,,false
WIJ0fbjLIJh,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,1,hmis.amuria1,2022-02-08T09:26:02.681+0000,,false
LR8778hLH8U,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,21,hmis.amuria1,2022-02-08T09:27:04.694+0000,,false
Rw3b8mGkyfh,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:29:08.638+0000,,false
PgLUhukgbZu,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:31.562+0000,,false
P2wDiYT9Ldr,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:10.204+0000,,false
wPvAkvR4dzH,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:36:56.183+0000,,false
OaRxaiaFBsA,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:31:48.386+0000,,false
Ltid4SErX2z,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:34:10.639+0000,,false
EeUWzpLdAcO,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:28:30.462+0000,,false
aU0n2RXwQJC,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:32.486+0000,,false
LiSyn6bblsc,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:24:43.938+0000,,false
vC9pW0FEvd2,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:12.122+0000,,false
FPXwKGEV96K,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:26:13.420+0000,,false
sv6SeKroHPV,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,56,hmis.amuria1,2022-02-08T09:20:47.476+0000,,false
D9A0afrTYPw,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,31,hmis.amuria1,2022-02-08T09:22:48.778+0000,,false
MxD5pnf5rVM,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:25:16.166+0000,,false
sQ4EexvvhVe,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:21:03.217+0000,,false
y6ofkvr4JP8,202201,wz2IJXrulbx,c7gvocRdg0f,Lf2Axb9E6B4,0,hmis.amuria1,2022-02-08T09:27:35.899+0000,,false
